,generation,ms
0,223,"[[51, 80, 77, 33, 69, 18, 41, 13, 100, 23, 84, 46, 48, 25, 6, 78, 89, 4, 72, 53, 39, 3, 88, 15, 93, 73, 2, 82, 24, 86, 16, 8, 68, 96, 21, 56, 43, 97, 58, 42, 61, 50, 27, 63, 32, 20, 60, 76, 31, 85, 17, 92, 30, 66, 49, 79, 99, 5, 59, 9, 47, 81, 55, 22, 74, 34, 11, 91, 26, 64, 67, 98, 65, 19, 1, 83, 44, 36, 52, 40, 29, 35, 10, 95, 90, 57, 62, 14, 38, 75, 94, 12, 37, 71, 70, 7, 54, 87, 45, 28], [100, 25, 100, 100, 5, 100, 2, 100, 100, 13, 3, 9, 100, 100, 3, 2, 8, 1, 1, 12, 2, 100, 15, 100, 4, 11, 1, 6, 100, 100, 100, 1, 3, 3, 100, 100, 100, 100, 100, 1, 100, 100, 18, 2, 100, 100, 2, 1, 1, 100, 100, 3, 20, 100, 100, 100, 3, 100, 2, 12, 1, 100, 2, 100, 100, 100, 100, 1, 100, 100, 100, 100, 100, 100, 2, 100, 2, 2, 100, 100, 100, 33, 100, 2, 2, 3, 3, 100, 1, 1, 5, 2, 100, 40, 1, 100, 100, 100, 100, 6]]"
1,201,"[[90, 73, 7, 96, 42, 36, 39, 24, 65, 33, 14, 89, 2, 12, 50, 64, 46, 84, 59, 85, 43, 9, 16, 70, 93, 26, 88, 57, 4, 99, 81, 37, 17, 21, 52, 74, 34, 63, 49, 77, 41, 82, 92, 48, 11, 53, 61, 30, 69, 18, 5, 27, 100, 25, 56, 29, 94, 23, 78, 68, 91, 15, 60, 55, 75, 32, 22, 72, 80, 3, 76, 83, 67, 51, 66, 38, 13, 79, 31, 1, 44, 71, 97, 40, 6, 95, 10, 45, 62, 35, 20, 19, 47, 87, 54, 58, 98, 28, 8, 86], [1, 3, 100, 1, 100, 100, 3, 100, 1, 3, 100, 4, 6, 100, 100, 100, 100, 1, 100, 4, 100, 100, 100, 1, 100, 100, 100, 100, 1, 1, 100, 100, 100, 7, 100, 1, 100, 100, 100, 100, 100, 8, 2, 100, 100, 100, 29, 100, 100, 6, 1, 100, 2, 2, 100, 100, 3, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 2, 100, 26, 2, 100, 13, 100, 61, 2, 100, 3, 2, 100, 7, 100, 2, 1, 1, 100, 100, 4, 100, 100, 2, 100, 100, 42, 100, 100, 100, 100]]"
2,373,"[[15, 95, 74, 10, 36, 96, 79, 8, 16, 76, 72, 73, 24, 90, 38, 2, 37, 33, 85, 51, 1, 22, 48, 66, 98, 62, 29, 21, 93, 65, 42, 80, 86, 4, 57, 5, 83, 77, 27, 44, 84, 55, 17, 82, 23, 63, 64, 75, 31, 11, 69, 52, 100, 54, 58, 3, 7, 91, 25, 46, 30, 67, 41, 19, 28, 70, 89, 68, 40, 53, 87, 12, 9, 39, 92, 34, 50, 59, 78, 45, 49, 35, 88, 60, 32, 71, 6, 47, 97, 20, 56, 14, 18, 81, 43, 99, 61, 26, 13, 94], [100, 3, 100, 1, 1, 100, 6, 100, 100, 100, 2, 100, 2, 1, 100, 100, 2, 100, 1, 100, 100, 6, 5, 2, 100, 15, 2, 100, 12, 3, 27, 100, 2, 1, 1, 100, 1, 100, 1, 1, 100, 100, 100, 100, 100, 4, 1, 4, 2, 100, 100, 100, 1, 100, 1, 4, 2, 9, 3, 4, 100, 9, 9, 100, 2, 19, 100, 6, 100, 100, 3, 100, 100, 1, 2, 100, 100, 100, 3, 1, 100, 100, 100, 1, 100, 100, 1, 3, 100, 100, 1, 100, 27, 100, 100, 3, 100, 2, 100, 3]]"
3,127,"[[16, 78, 23, 77, 97, 7, 86, 50, 29, 42, 65, 57, 93, 36, 33, 79, 71, 24, 10, 37, 41, 76, 44, 75, 14, 12, 35, 43, 69, 96, 8, 53, 52, 74, 66, 64, 98, 2, 84, 4, 82, 3, 47, 60, 62, 80, 31, 51, 72, 17, 63, 28, 73, 26, 91, 68, 21, 90, 18, 27, 19, 61, 32, 6, 58, 95, 25, 70, 99, 40, 89, 59, 11, 54, 34, 13, 55, 81, 15, 94, 83, 85, 30, 88, 1, 20, 38, 46, 22, 92, 39, 5, 100, 9, 49, 67, 45, 48, 87, 56], [100, 100, 100, 100, 4, 3, 100, 9, 8, 1, 2, 100, 3, 3, 27, 33, 100, 100, 21, 6, 100, 3, 6, 2, 100, 100, 100, 100, 30, 4, 100, 100, 100, 2, 1, 5, 1, 100, 100, 100, 100, 3, 5, 100, 100, 3, 100, 100, 100, 100, 100, 100, 10, 100, 100, 100, 8, 100, 27, 100, 5, 100, 100, 100, 2, 100, 100, 11, 7, 100, 29, 100, 11, 100, 100, 100, 100, 100, 100, 7, 2, 100, 100, 100, 1, 19, 100, 100, 100, 7, 100, 100, 3, 100, 100, 100, 100, 5, 100, 100]]"
