generation,ms,time
48,"[[1, 25, 24, 9, 6, 4, 16, 19, 14, 12, 15, 11, 13, 5, 21, 23, 10, 7, 17, 8, 22, 3, 2, 20, 18], [25, 25, 25, 24, 25, 24, 25, 24, 25, 25, 25, 25, 24, 25, 24, 24, 24, 25, 25, 25, 24, 25, 25, 24, 25]]",0.0029981136322021484
65,"[[24, 18, 9, 11, 3, 12, 4, 5, 23, 21, 22, 2, 17, 10, 14, 1, 16, 15, 13, 20, 6, 25, 19, 8, 7], [27, 25, 27, 26, 25, 25, 25, 26, 25, 24, 25, 25, 24, 25, 24, 25, 24, 25, 25, 21, 24, 28, 25, 25, 25]]",0.004004001617431641
81,"[[22, 10, 7, 8, 18, 21, 15, 5, 23, 1, 13, 11, 12, 4, 25, 6, 9, 17, 14, 19, 3, 20, 24, 16, 2], [26, 24, 24, 23, 26, 27, 24, 26, 25, 24, 25, 26, 25, 26, 25, 25, 24, 23, 25, 25, 24, 25, 26, 25, 23]]",0.001993894577026367
45,"[[23, 1, 22, 11, 8, 4, 6, 12, 25, 18, 20, 24, 9, 5, 7, 16, 21, 3, 10, 15, 2, 13, 19, 14, 17], [25, 25, 25, 24, 24, 24, 26, 25, 25, 25, 25, 26, 25, 26, 25, 25, 25, 23, 27, 26, 25, 25, 25, 25, 26]]",0.005001068115234375
204,"[[15, 2, 11, 12, 25, 13, 16, 17, 9, 10, 14, 21, 7, 18, 5, 19, 20, 22, 3, 1, 4, 6, 8, 23, 24], [25, 24, 23, 26, 25, 28, 24, 26, 25, 25, 27, 22, 27, 27, 25, 30, 22, 27, 26, 21, 24, 28, 26, 26, 23]]",0.0029969215393066406
69,"[[10, 2, 6, 25, 22, 3, 18, 20, 5, 19, 21, 17, 15, 8, 4, 24, 16, 1, 13, 11, 7, 12, 23, 14, 9], [27, 25, 25, 25, 26, 25, 25, 24, 25, 25, 25, 26, 25, 25, 26, 25, 25, 25, 25, 25, 25, 25, 26, 24, 25]]",0.004004955291748047
66,"[[24, 3, 25, 5, 8, 6, 16, 10, 20, 13, 9, 7, 12, 23, 14, 22, 21, 1, 2, 19, 4, 18, 17, 15, 11], [26, 25, 25, 23, 26, 25, 26, 23, 25, 23, 26, 26, 25, 27, 24, 25, 25, 24, 25, 25, 26, 25, 25, 26, 25]]",0.003000497817993164
136,"[[23, 8, 3, 19, 12, 1, 17, 25, 20, 2, 4, 22, 10, 5, 24, 21, 7, 13, 6, 18, 16, 11, 14, 15, 9], [26, 26, 25, 23, 24, 28, 26, 27, 26, 25, 24, 24, 25, 25, 26, 25, 25, 25, 24, 25, 24, 24, 25, 28, 25]]",0.002000093460083008
68,"[[13, 22, 6, 21, 3, 11, 5, 25, 23, 1, 9, 10, 16, 12, 18, 17, 8, 14, 7, 19, 15, 20, 4, 2, 24], [24, 26, 22, 25, 26, 25, 24, 22, 26, 25, 25, 25, 25, 25, 27, 26, 26, 25, 25, 26, 25, 25, 25, 25, 25]]",0.0030028820037841797
38,"[[16, 20, 7, 12, 10, 24, 14, 17, 1, 9, 8, 5, 18, 19, 15, 4, 23, 2, 11, 25, 13, 3, 21, 22, 6], [27, 26, 25, 25, 25, 25, 25, 25, 26, 25, 25, 25, 25, 25, 25, 25, 25, 23, 25, 25, 24, 26, 25, 25, 27]]",0.0020008087158203125
40,"[[13, 25, 18, 2, 7, 11, 12, 17, 15, 10, 5, 1, 23, 20, 16, 22, 6, 4, 9, 24, 14, 21, 3, 19, 8], [26, 26, 25, 25, 24, 25, 25, 27, 25, 25, 25, 25, 26, 25, 26, 25, 27, 25, 25, 26, 27, 24, 25, 24, 26]]",0.0029973983764648438
73,"[[16, 21, 22, 1, 5, 24, 9, 2, 20, 10, 4, 17, 11, 25, 8, 7, 15, 18, 6, 19, 14, 3, 12, 13, 23], [25, 24, 26, 25, 25, 24, 25, 25, 26, 26, 25, 24, 25, 26, 25, 25, 24, 26, 25, 27, 23, 25, 26, 26, 24]]",0.003995656967163086
27,"[[7, 12, 19, 25, 2, 13, 6, 5, 17, 24, 21, 16, 23, 4, 1, 10, 9, 15, 11, 20, 14, 22, 3, 8, 18], [24, 25, 26, 25, 25, 25, 25, 25, 26, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 26, 25, 25, 24]]",0.004021883010864258
159,"[[3, 14, 19, 5, 24, 12, 23, 9, 13, 8, 7, 21, 4, 22, 11, 25, 6, 17, 15, 2, 18, 1, 16, 10, 20], [25, 24, 27, 25, 27, 23, 25, 25, 24, 26, 22, 25, 26, 26, 27, 25, 26, 26, 25, 24, 27, 25, 25, 25, 23]]",0.0030014514923095703
195,"[[19, 10, 13, 14, 9, 11, 21, 2, 23, 8, 3, 24, 17, 5, 16, 20, 4, 15, 1, 25, 12, 6, 18, 22, 7], [24, 25, 25, 27, 29, 24, 23, 23, 25, 24, 26, 25, 25, 22, 27, 22, 25, 26, 25, 25, 27, 27, 27, 21, 26]]",0.0029993057250976562
42,"[[23, 3, 12, 19, 8, 9, 7, 22, 2, 25, 10, 16, 13, 6, 20, 5, 24, 4, 21, 11, 18, 15, 14, 17, 1], [25, 25, 25, 27, 24, 27, 25, 24, 25, 26, 24, 25, 24, 25, 25, 25, 26, 25, 24, 24, 25, 25, 25, 26, 25]]",0.0019965171813964844
155,"[[12, 14, 22, 10, 7, 17, 20, 2, 18, 8, 19, 6, 3, 21, 16, 4, 24, 23, 5, 9, 13, 1, 15, 11, 25], [25, 22, 26, 24, 25, 25, 25, 25, 25, 25, 21, 25, 21, 25, 25, 24, 25, 25, 25, 25, 23, 23, 25, 23, 24]]",0.0040090084075927734
