generation,ms,time
40,"[[18, 2, 3, 20, 22, 7, 25, 19, 1, 13, 17, 9, 8, 16, 15, 12, 23, 21, 4, 5, 11, 6, 14, 24, 10], [1, 1, 2, 5, 7, 25, 25, 25, 6, 2, 25, 1, 25, 2, 25, 25, 3, 1, 25, 25, 25, 25, 2, 1, 1]]",0.0049993991851806
55,"[[1, 24, 25, 6, 9, 21, 10, 4, 7, 23, 13, 8, 15, 18, 11, 16, 20, 2, 22, 5, 14, 3, 19, 12, 17], [25, 4, 25, 2, 1, 25, 25, 1, 25, 25, 2, 1, 2, 25, 3, 1, 2, 25, 9, 1, 2, 25, 2, 1, 25]]",0.004002571105957031
87,"[[5, 9, 15, 23, 13, 8, 21, 14, 6, 16, 25, 11, 2, 10, 17, 3, 20, 22, 19, 1, 24, 4, 12, 7, 18], [1, 2, 1, 25, 1, 25, 1, 2, 25, 25, 4, 25, 1, 2, 2, 25, 2, 2, 1, 25, 1, 25, 25, 25, 2]]",0.003000974655151367
38,"[[21, 3, 11, 12, 18, 24, 6, 14, 2, 19, 7, 8, 13, 20, 17, 4, 23, 22, 15, 1, 9, 25, 5, 16, 10], [25, 2, 1, 25, 25, 25, 2, 25, 3, 25, 2, 25, 25, 1, 2, 1, 25, 2, 25, 25, 4, 1, 3, 2, 1]]",0.005003690719604492
128,"[[6, 13, 14, 7, 25, 24, 20, 16, 2, 3, 21, 1, 17, 15, 11, 5, 12, 8, 18, 22, 9, 19, 10, 23, 4], [1, 2, 5, 25, 1, 2, 1, 1, 1, 25, 25, 1, 1, 1, 1, 25, 1, 25, 1, 25, 1, 2, 25, 2, 13]]",0.0029883384704589844
82,"[[13, 12, 24, 7, 9, 5, 10, 8, 20, 22, 16, 23, 18, 2, 6, 14, 1, 4, 21, 25, 17, 19, 11, 15, 3], [3, 1, 25, 25, 1, 2, 1, 25, 2, 25, 2, 2, 25, 25, 2, 2, 2, 1, 2, 25, 2, 25, 1, 6, 6]]",0.004002094268798828
54,"[[7, 12, 20, 9, 17, 16, 24, 2, 19, 4, 23, 13, 3, 21, 5, 8, 15, 22, 6, 14, 11, 1, 18, 10, 25], [25, 25, 2, 25, 2, 25, 25, 2, 4, 25, 1, 1, 25, 25, 2, 2, 25, 2, 3, 25, 1, 4, 3, 25, 25]]",0.005999565124511719
55,"[[9, 24, 16, 11, 5, 8, 14, 22, 4, 17, 18, 2, 20, 10, 15, 7, 13, 1, 19, 25, 23, 12, 6, 21, 3], [1, 1, 25, 2, 25, 1, 1, 25, 25, 5, 25, 25, 1, 1, 1, 2, 1, 1, 1, 4, 1, 25, 1, 6, 4]]",0.002996206283569336
24,"[[19, 9, 14, 10, 13, 2, 22, 23, 17, 1, 18, 15, 8, 3, 21, 6, 7, 16, 11, 25, 20, 12, 4, 24, 5], [1, 25, 25, 25, 9, 25, 1, 2, 25, 1, 2, 1, 25, 1, 1, 25, 25, 25, 1, 25, 6, 25, 25, 1, 25]]",0.004004240036010742
54,"[[22, 19, 6, 3, 15, 2, 10, 25, 21, 7, 11, 23, 12, 1, 18, 17, 4, 8, 16, 20, 13, 9, 14, 24, 5], [2, 25, 6, 2, 3, 25, 3, 1, 2, 2, 25, 25, 1, 2, 25, 25, 2, 25, 25, 1, 2, 2, 25, 25, 25]]",0.003520488739013672
73,"[[1, 25, 20, 15, 4, 22, 11, 14, 10, 8, 7, 2, 23, 21, 12, 16, 9, 3, 13, 24, 19, 18, 5, 6, 17], [25, 1, 3, 2, 25, 5, 2, 25, 2, 25, 5, 1, 1, 2, 1, 1, 4, 2, 2, 25, 25, 25, 25, 1, 3]]",0.0039865970611572266
